Action;Method;Parser paragraf;Parser taxapunkt;Parser variant;Parser enhet;Excel rad;Excel taxapunkt;Excel variant;Excel enhet;Excel taxakod;Kommentar
CREATE;word tax missing from Taxepunkter;6.1.2;Handfat;;styck;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;WC-stol;;styck;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Metall;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Textilier;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Fiskeredskap;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Ätbart fett/frityrolja;;liter;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
REVIEW;multiple section+tax_point rows;6.1.2;Kvistar och grenar;;m³;273;Kvistar och grenar;;kr/ton;;2 befintliga rader delar paragraf+taxapunkt
CREATE;word tax missing from Taxepunkter;6.1.2;Jord;;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Sten;;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Stubbar/rötter för krossning;;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Flera fraktioner för egen sortering på ramp (max 2 m³);;m³;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Osorterat avfall till sortering (ej innehåll av farligt avfall och elavfall);;;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Tonerkassetter, utan elektronik/chip;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Oljeemulsion, emballerat;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Förorenad olja innehållande PCB;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Oljeavskiljarslam;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Diesel;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Bensinrester;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Hydralslang, med/utan koppling;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Förpackningar, tömde ej rengjorda;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Oljeavfall, fast osorterat emba;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Absorbermedel, filtermaterial;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Oljefilter;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Bromsvätska;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Transformator, kondensator med PCB;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Fogskum;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Halon;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Koldioxid;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Brandsläckare;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Helium;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Tändare;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Syrgas;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Oxiderande fast ämne/vätska;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Klorex;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Aerosoler isocyanat, bekämpning;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Gasol inkl tub;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Gasol, blå programmet;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Giftig organisk vätska;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Småkemikalier, ej Hg-haltiga;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Giftig oorganisk vätska;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Oxidationsmedel, flytande;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Asbest, emballerat;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Smittförande avfall;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Lösningsmedel;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Väteperoxid;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Flourvätesyra;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Svavelsyra;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Salpetersyra;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Surt oorganisk fast ämne;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Surt organisk fast ämne;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Surt oorganisk vätska;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Surt organisk vätska;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Ammoniaklösning;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Alkaliskt avfall fast;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Basiskt organiskt fast/flytande;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Fotokemikalier;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Bekämpningsmedel aerosoler;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Bekämpningsmedel fast;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Bekämpningsmedel flytande;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Kvicksilverhaltigt avfall;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Kvicksilver i föremål;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Oljehaltigt avfall (ej PCB);;liter;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Olja förorenad (ej PCB);;liter;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Färg-, lack-, limburkar lösning;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Färg-, lack-, limburkar lösning aerosoler;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Isocyanater;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Härdare metyl- etylketonperoxid;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Härdare dibenzoylperoxid;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Färg-,lack-, limburkar vattenbaserade;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Tensida alkaliska flytande avfall;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Rengöring/vaskmedel fast;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Alkaliska flytande avfall;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Cytotoxiska läkemedel, cytostat;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Rökdetektor med andra isotoper;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Rökdetektor med Am 241;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Batterier stav, pencell;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Batterier lithium;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Bil-, mcbatteri med bly;;styck;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Glödlampor;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Lysrör;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Elavfall, små elektronik;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;El-avfall fast installation;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;El-avfall kabel;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Toner, färgpatron med elektronik;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Tv, radio, skärm, skrivare utan färgpatron;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Kyl-, frysskåp, -box;;styck;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Kyl-, frysskåp, -box från verksamhet;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Spis, tvätt-, diskmaskin;;styck;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.2;Spis, tvätt-, diskmaskin från verksamhet;;kilogram;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.3;Container X m3;;m³;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.3;Container X m3;;m³;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.3;Container X m3;;m³;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.3;Omklassning av felsorterad container;;container;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.4;Okänt farligt avfall (säkerhetsdatablad saknas);;fraktion;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.4;Ombud för rapportering av farligt avfall i Avfallsregistret;;tillfälle;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.4;Administrativ rapporteringsavgift till Avfallsregistret;;tillfälle;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
CREATE;word tax missing from Taxepunkter;6.1.4;Ombud för registrering av El-kretsen avlämnarintyg i Hämtplatsportalen;;tillfälle;;;;;;Skapa egen rad i Taxepunkter oavsett EDP-status
