Paragraf;Taxapunkt;Variant;Enhet;Section group;Kategori;Avfallstyp;Enhetstyp;Behållarvolym liter;Faktorhint;Confidence;Keywords;Notes
6.1.2;Jord;;;6.1;ÅVC/verksamhetsavfall;;;;;0.50;jord;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
6.1.2;Sten;;;6.1;ÅVC/verksamhetsavfall;;;;;0.50;sten;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
6.1.2;Stubbar/rötter för krossning;;;6.1;ÅVC/verksamhetsavfall;;;;;0.50;krossning, rötter, stubbar;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
6.1.2;Flera fraktioner för egen sortering på ramp (max 2 m³);;m³;6.1;ÅVC/verksamhetsavfall;;Volym;;VOLM;0.75;egen, flera, fraktioner, max2, ramp, sortering;Avfallstyp kunde inte härledas.
6.1.2;Osorterat avfall till sortering (ej innehåll av farligt avfall och elavfall);;;6.1;ÅVC/verksamhetsavfall;Elavfall;;;;0.75;avfall, elavfall, farligt, innehåll, osorterat, sortering;Faktor kunde inte härledas från enhet/text.
6.1.2;Tonerkassetter, utan elektronik/chip;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;chip, elektronik, kilogram, tonerkassetter;Avfallstyp kunde inte härledas.
6.1.2;Oljeemulsion, emballerat;;kilogram;6.1;ÅVC/verksamhetsavfall;Oljeavfall;Vikt;;VIKG;1.00;emballerat, kilogram, oljeemulsion;
6.1.2;Förorenad olja innehållande PCB;;kilogram;6.1;ÅVC/verksamhetsavfall;Oljeavfall;Vikt;;VIKG;1.00;förorenad, innehållande, kilogram, olja, pcb;
6.1.2;Oljeavskiljarslam;;kilogram;6.1;ÅVC/verksamhetsavfall;Oljeavfall;Vikt;;VIKG;1.00;kilogram, oljeavskiljarslam;
6.1.2;Diesel;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;diesel, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Bensinrester;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;bensinrester, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Hydralslang, med/utan koppling;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;hydralslang, kilogram, koppling;Avfallstyp kunde inte härledas.
6.1.2;Förpackningar, tömde ej rengjorda;;kilogram;6.1;ÅVC/verksamhetsavfall;Förpackningar;Vikt;;VIKG;1.00;förpackningar, kilogram, rengjorda, tömde;
6.1.2;Oljeavfall, fast osorterat emba;;kilogram;6.1;ÅVC/verksamhetsavfall;Oljeavfall;Vikt;;VIKG;1.00;emba, fast, kilogram, oljeavfall, osorterat;
6.1.2;Absorbermedel, filtermaterial;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;absorbermedel, filtermaterial, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Oljefilter;;kilogram;6.1;ÅVC/verksamhetsavfall;Oljeavfall;Vikt;;VIKG;1.00;kilogram, oljefilter;
6.1.2;Bromsvätska;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;bromsvätska, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Transformator, kondensator med PCB;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;kilogram, kondensator, pcb, transformator;Avfallstyp kunde inte härledas.
6.1.2;Fogskum;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;fogskum, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Halon;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;halon, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Koldioxid;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;kilogram, koldioxid;Avfallstyp kunde inte härledas.
6.1.2;Brandsläckare;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;brandsläckare, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Helium;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;helium, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Tändare;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;kilogram, tändare;Avfallstyp kunde inte härledas.
6.1.2;Syrgas;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;kilogram, syrgas;Avfallstyp kunde inte härledas.
6.1.2;Oxiderande fast ämne/vätska;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;fast, kilogram, oxiderande, vätska, ämne;Avfallstyp kunde inte härledas.
6.1.2;Klorex;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;klorexkilogram;Avfallstyp kunde inte härledas.
6.1.2;Aerosoler isocyanat, bekämpning;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;aerosoler, bekämpning, isocyanat, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Gasol inkl tub;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;gasol, inkl, kilogram, tub;Avfallstyp kunde inte härledas.
6.1.2;Gasol, blå programmet;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;blå, gasol, kilogram, programmet;Avfallstyp kunde inte härledas.
6.1.2;Giftig organisk vätska;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;giftig, kilogram, organisk, vätska;Avfallstyp kunde inte härledas.
6.1.2;Småkemikalier, ej Hg-haltiga;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;hg-haltiga, kilogram, småkemikalier;Avfallstyp kunde inte härledas.
6.1.2;Giftig oorganisk vätska;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;giftig, kilogram, oorganisk, vätska;Avfallstyp kunde inte härledas.
6.1.2;Oxidationsmedel, flytande;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;flytande, kilogram, oxidationsmedel;Avfallstyp kunde inte härledas.
6.1.2;Asbest, emballerat;;kilogram;6.1;ÅVC/verksamhetsavfall;Asbest;Vikt;;VIKG;1.00;asbest, emballerat, kilogram;
6.1.2;Smittförande avfall;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;avfall, kilogram, smittförande;Avfallstyp kunde inte härledas.
6.1.2;Lösningsmedel;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;kilogram, lösningsmedel;Avfallstyp kunde inte härledas.
6.1.2;Väteperoxid;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;kilogram, väteperoxid;Avfallstyp kunde inte härledas.
6.1.2;Flourvätesyra;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;flourvätesyra, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Svavelsyra;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;kilogram, svavelsyra;Avfallstyp kunde inte härledas.
6.1.2;Salpetersyra;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;kilogram, salpetersyra;Avfallstyp kunde inte härledas.
6.1.2;Surt oorganisk fast ämne;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;fast, kilogram, oorganisk, surt, ämne;Avfallstyp kunde inte härledas.
6.1.2;Surt organisk fast ämne;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;fast, kilogram, organisk, surt, ämne;Avfallstyp kunde inte härledas.
6.1.2;Surt oorganisk vätska;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;kilogram, oorganisk, surt, vätska;Avfallstyp kunde inte härledas.
6.1.2;Surt organisk vätska;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;kilogram, organisk, surt, vätska;Avfallstyp kunde inte härledas.
6.1.2;Ammoniaklösning;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;ammoniaklösning, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Alkaliskt avfall fast;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;alkaliskt, avfall, fast, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Basiskt organiskt fast/flytande;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;basiskt, fast, flytande, kilogram, organiskt;Avfallstyp kunde inte härledas.
6.1.2;Fotokemikalier;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;fotokemikalier, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Bekämpningsmedel aerosoler;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;aerosoler, bekämpningsmedel, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Bekämpningsmedel fast;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;bekämpningsmedel, fast, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Bekämpningsmedel flytande;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;bekämpningsmedel, flytande, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Kvicksilverhaltigt avfall;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;avfall, kilogram, kvicksilverhaltigt;Avfallstyp kunde inte härledas.
6.1.2;Kvicksilver i föremål;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;föremål, kilogram, kvicksilver;Avfallstyp kunde inte härledas.
6.1.2;Oljehaltigt avfall (ej PCB);;liter;6.1;ÅVC/verksamhetsavfall;Oljeavfall;Behållarvolym;;VOLYM/BEHÅLLARE;1.00;avfall, liter, oljehaltigt, pcb;
6.1.2;Olja förorenad (ej PCB);;liter;6.1;ÅVC/verksamhetsavfall;Oljeavfall;Behållarvolym;;VOLYM/BEHÅLLARE;1.00;förorenad, liter, olja, pcb;
6.1.2;Färg-, lack-, limburkar lösning;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;färg-, kilogram, lack-, limburkar, lösning;Avfallstyp kunde inte härledas.
6.1.2;Färg-, lack-, limburkar lösning aerosoler;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;aerosoler, färg-, kilogram, lack-, limburkar, lösning;Avfallstyp kunde inte härledas.
6.1.2;Isocyanater;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;isocyanater, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Härdare metyl- etylketonperoxid;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;härdare, kilogram, metyl-etylketonperoxid;Avfallstyp kunde inte härledas.
6.1.2;Härdare dibenzoylperoxid;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;dibenzoylperoxid, härdare, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Färg-,lack-, limburkar vattenbaserade;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;färg-, kilogram, lack-, limburkar, vattenbaserade;Avfallstyp kunde inte härledas.
6.1.2;Tensida alkaliska flytande avfall;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;alkaliska, avfall, flytande, kilogram, tensida;Avfallstyp kunde inte härledas.
6.1.2;Rengöring/vaskmedel fast;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;fast, kilogram, rengöring, vaskmedel;Avfallstyp kunde inte härledas.
6.1.2;Alkaliska flytande avfall;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;alkaliska, avfall, flytande, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Cytotoxiska läkemedel, cytostat;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;cytostat, cytotoxiska, kilogram, läkemedel;Avfallstyp kunde inte härledas.
6.1.2;Rökdetektor med andra isotoper;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;andra, isotoper, kilogram, rökdetektor;Avfallstyp kunde inte härledas.
6.1.2;Rökdetektor med Am 241;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;241, kilogram, rökdetektor;Avfallstyp kunde inte härledas.
6.1.2;Batterier stav, pencell;;kilogram;6.1;ÅVC/verksamhetsavfall;Batterier;Vikt;;VIKG;1.00;batterier, kilogram, pencell, stav;
6.1.2;Batterier lithium;;kilogram;6.1;ÅVC/verksamhetsavfall;Batterier;Vikt;;VIKG;1.00;batterier, kilogram, lithium;
6.1.2;Bil-, mcbatteri med bly;;styck;6.1;ÅVC/verksamhetsavfall;;Styck;;ST;0.75;bil-, bly, mcbatteri, styck;Avfallstyp kunde inte härledas.
6.1.2;Glödlampor;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;glödlampor, kilogram;Avfallstyp kunde inte härledas.
6.1.2;Lysrör;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;kilogram, lysrör;Avfallstyp kunde inte härledas.
6.1.2;Elavfall, små elektronik;;kilogram;6.1;ÅVC/verksamhetsavfall;Elavfall;Vikt;;VIKG;1.00;elavfall, elektronik, kilogram, små;
6.1.2;El-avfall fast installation;;kilogram;6.1;ÅVC/verksamhetsavfall;Elavfall;Vikt;;VIKG;1.00;el-avfall, fast, installation, kilogram;
6.1.2;El-avfall kabel;;kilogram;6.1;ÅVC/verksamhetsavfall;Elavfall;Vikt;;VIKG;1.00;el-avfall, kabel, kilogram;
6.1.2;Toner, färgpatron med elektronik;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;elektronik, färgpatron, kilogram, toner;Avfallstyp kunde inte härledas.
6.1.2;Tv, radio, skärm, skrivare utan färgpatron;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;färgpatron, kilogram, radio, skrivare, skärm;Avfallstyp kunde inte härledas.
6.1.2;Kyl-, frysskåp, -box;;styck;6.1;ÅVC/verksamhetsavfall;Kyl/frys;Styck;;ST;1.00;-boxstyck, frysskåp, kyl-;
6.1.2;Kyl-, frysskåp, -box från verksamhet;;kilogram;6.1;ÅVC/verksamhetsavfall;Kyl/frys;Vikt;;VIKG;1.00;-boxfrån, frysskåp, kilogram, kyl-, verksamhet;
6.1.2;Spis, tvätt-, diskmaskin;;styck;6.1;ÅVC/verksamhetsavfall;;Styck;;ST;0.75;diskmaskin, spis, styck, tvätt-;Avfallstyp kunde inte härledas.
6.1.2;Spis, tvätt-, diskmaskin från verksamhet;;kilogram;6.1;ÅVC/verksamhetsavfall;;Vikt;;VIKG;0.75;diskmaskin, kilogram, spis, tvätt-, verksamhet;Avfallstyp kunde inte härledas.
6.1.3;Container X m3;;m³;6.1;Verksamhetsavfall;;Volym;;VOLM;0.75;containerxm3;Avfallstyp kunde inte härledas.
6.1.3;Container X m3;;m³;6.1;Verksamhetsavfall;;Volym;;VOLM;0.75;containerxm3;Avfallstyp kunde inte härledas.
6.1.3;Container X m3;;m³;6.1;Verksamhetsavfall;;Volym;;VOLM;0.75;containerxm3;Avfallstyp kunde inte härledas.
6.1.3;Omklassning av felsorterad container;;container;6.1;Verksamhetsavfall;;;;;0.50;container, felsorterad, omklassning;Faktor kunde inte härledas från enhet/text. | Avfallstyp kunde inte härledas.
6.1.4;Okänt farligt avfall (säkerhetsdatablad saknas);;fraktion;6.1;Verksamhetsavfall;Farligt avfall;;;;0.75;avfall, farligt, fraktion, okänt, saknas, säkerhetsdatablad;Faktor kunde inte härledas från enhet/text.
6.1.4;Ombud för rapportering av farligt avfall i Avfallsregistret;;tillfälle;6.1;Verksamhetsavfall;Farligt avfall;Tillfälle;;TILLFÄLLE;1.00;avfall, avfallsregistret, farligt, ombud, rapportering, tillfälle;
6.1.4;Administrativ rapporteringsavgift till Avfallsregistret;;tillfälle;6.1;Verksamhetsavfall;;Tillfälle;;TILLFÄLLE;0.75;administrativ, avfallsregistret, rapporteringsavgift, tillfälle;Avfallstyp kunde inte härledas.
6.1.4;Ombud för registrering av El-kretsen avlämnarintyg i Hämtplatsportalen;;tillfälle;6.1;Verksamhetsavfall;;Tillfälle;;TILLFÄLLE;0.75;avlämnarintyg, el-kretsen, hämtplatsportalen, ombud, registrering, tillfälle;Avfallstyp kunde inte härledas.
