Status;Metod;Parser paragraf;Parser taxapunkt;Parser variant;Parser enhet;Excel rad;Excel taxapunkt;Excel variant;Excel enhet;Excel taxakod;Kommentar
COVERED;exact row;6.1.2;Kyl-, frysskåp, -box;;styck;231;Kyl-, frysskåp, -box;;styck;0,00;
COVERED;exact row;6.1.2;Kyl-, frysskåp, -box från verksamhet;;kilogram;232;Kyl-, frysskåp, -box från verksamhet;;kilogram;37,60;
COVERED;exact row;6.1.2;Spis, tvätt-, diskmaskin;;styck;233;Spis, tvätt-, diskmaskin;;styck;0,00;
COVERED;exact row;6.1.2;Spis, tvätt-, diskmaskin från verksamhet;;kilogram;234;Spis, tvätt-, diskmaskin från verksamhet;;kilogram;37,60;
REVIEW;duplicate exact row;6.1.3;Container X m3;;m³;235;Container X m3;;m³;XX kr;3 Taxepunkter rows match same parser row
REVIEW;duplicate exact row;6.1.3;Container X m3;;m³;235;Container X m3;;m³;XX kr;3 Taxepunkter rows match same parser row
REVIEW;duplicate exact row;6.1.3;Container X m3;;m³;235;Container X m3;;m³;XX kr;3 Taxepunkter rows match same parser row
COVERED;exact row;6.1.3;Omklassning av felsorterad container;;container;238;Omklassning av felsorterad container;;container;XX kr;
COVERED;exact row;6.1.4;Okänt farligt avfall (säkerhetsdatablad saknas);;fraktion;239;Okänt farligt avfall (säkerhetsdatablad saknas);;fraktion;XXX kr;
COVERED;exact row;6.1.4;Ombud för rapportering av farligt avfall i Avfallsregistret;;tillfälle;240;Ombud för rapportering av farligt avfall i Avfallsregistret;;tillfälle;XXX kr;
COVERED;exact row;6.1.4;Administrativ rapporteringsavgift till Avfallsregistret;;tillfälle;241;Administrativ rapporteringsavgift till Avfallsregistret;;tillfälle;XXX kr;
COVERED;exact row;6.1.4;Ombud för registrering av El-kretsen avlämnarintyg i Hämtplatsportalen;;tillfälle;242;Ombud för registrering av El-kretsen avlämnarintyg i Hämtplatsportalen;;tillfälle;XXX kr;
